timestamp,uv,light,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470799,2,262,3982,7,8582,202,247,326,645,8649,85,,
1712470801,4,281,2889,1564,8986,157,185,239,468,8294,66,,
1712470803,3,263,4510,4687,4450,243,292,372,773,7993,109,,
1712470805,0,231,4411,1244,6343,239,289,371,767,8108,107,,
1712470807,1,246,4432,1180,4707,181,216,276,559,8119,80,,
1712470809,4,291,7033,1059,7106,191,228,293,592,8167,83,,
1712470811,4,271,3123,-724,10373,318,399,514,1075,8312,150,,
1712470813,3,254,-2822,-2146,8720,333,423,554,1131,8651,154,,
1712470815,0,253,-1428,-2019,9327,325,417,545,1119,8679,153,,
1712470817,2,252,-1896,-2554,9866,307,393,516,1052,8740,142,,
1712470819,1,249,-1644,-2535,9364,305,391,511,1043,8720,144,,
1712470821,3,251,-1618,-1756,8582,316,404,527,1088,8593,149,,
1712470823,3,272,-1404,-1980,9821,253,325,427,881,8671,118,,
1712470825,0,243,-2211,-1427,10351,184,226,296,600,8458,80,,
1712470827,3,271,-4501,-855,9621,220,269,349,712,8331,97,,
1712470829,4,278,-4564,-2671,8557,316,400,517,1080,8391,150,,
1712470831,3,278,-5081,1141,10378,314,400,521,1086,8487,148,,
1712470833,2,265,-1404,-2266,9205,295,377,494,1026,8570,137,,
1712470835,1,278,-1953,693,8378,305,388,513,1055,8646,137,,
1712470837,3,271,-365,1716,5657,251,327,431,903,8664,119,,
1712470839,3,272,-6,1200,5575,191,248,327,677,8725,90,,
1712470841,1,270,1221,49,9665,116,145,191,377,8818,51,,
1712470843,0,267,1756,-1304,11295,151,187,244,496,8481,67,,
1712470845,1,268,-2387,-1247,5259,233,298,390,813,8542,109,,
1712470847,1,280,-2613,-3902,9131,205,268,347,728,8603,102,,
1712470849,3,268,232,753,5487,200,251,322,670,8320,95,,
1712470851,4,353,699,320,9068,277,349,452,944,8376,130,,
1712470853,1,277,-975,-1007,8635,304,376,492,1017,8356,134,,
1712470855,2,268,-315,420,6139,315,395,519,1073,8480,141,,
1712470857,2,272,313,247,7924,322,413,540,1129,8536,152,,
1712470859,2,273,-6166,3014,6094,219,271,358,737,8430,94,,
1712470861,12,269,-536,2697,9466,274,347,457,947,8537,124,,
1712470863,4,277,4036,-556,8028,234,295,389,803,8537,104,,
1712470865,4,281,1657,305,9675,199,256,340,698,8758,90,,
1712470867,0,241,-151,719,7370,169,213,282,576,8645,74,,
1712470869,37,276,-336,1025,7626,166,207,274,558,8573,72,,
1712470871,0,241,929,-1233,10406,176,218,291,590,8597,73,,
1712470873,4,282,-433,947,8853,134,165,213,443,8210,61,,
1712470875,0,233,-1691,1014,8064,215,272,363,737,8747,93,,
1712470877,0,233,-2362,1114,7983,197,249,331,681,8627,86,,
1712470879,0,216,-1774,1386,7723,180,227,301,617,8615,79,,
1712470881,3,285,-309,-451,8598,186,235,313,640,8682,81,,
1712470883,3,263,-790,705,8327,176,221,294,595,8713,76,,
1712470885,26,272,-46,-922,8458,161,201,264,541,8498,71,,
1712470887,2,281,-2195,588,8310,206,262,344,713,8549,94,,
1712470888,1,274,-2922,459,7144,262,324,432,877,8574,110,,
1712470890,2,275,-1670,1049,8237,268,331,439,899,8474,114,,
1712470892,4,250,125,2219,8958,232,290,384,783,8587,101,,
1712470894,4,283,707,1741,8740,198,246,321,669,8325,89,,
1712470896,4,252,354,2566,7357,156,190,243,512,8010,71,,
1712470898,4,252,-108,2618,8525,127,154,195,410,7957,59,,
1712470900,5,273,-457,3501,7429,108,128,163,337,7922,47,,
